topic_id,indicator_label,Source,calendar,time_id,value,unit,geo_code,geo_label,sub_code,sub_label,detail,detail_fa
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2011,26.29,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2012,27.26,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2013,36.60,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2014,16.61,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2015,12.48,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2016,7.25,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2017,8.04,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2018,18.01,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2019,39.91,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2020,30.59,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2021,43.39,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2022,43.49,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2023,44.58,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2024,32.46,%,IR,Iran,,,,
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1960,0.14,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1961,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1962,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1963,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1964,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1965,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1966,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1967,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1968,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1969,0.17,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1970,0.17,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1971,0.17,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1972,0.19,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1973,0.20,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1974,0.23,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1975,0.26,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1976,0.29,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1977,0.37,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1978,0.42,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1979,0.46,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1980,0.56,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1981,0.69,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1982,0.82,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1983,0.98,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1984,1.10,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1985,1.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1986,1.37,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1987,1.76,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1988,2.26,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1989,2.76,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1990,2.97,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1991,3.48,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1992,4.38,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1993,5.31,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1994,6.98,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1995,10.45,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1996,13.47,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1997,15.81,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1998,18.64,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1999,22.38,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2000,25.62,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2001,28.50,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2002,32.59,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2003,37.96,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2004,43.56,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2005,49.41,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2006,54.36,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2007,63.79,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2008,79.99,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2009,90.84,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2010,100.00,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2011,126.29,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2012,160.72,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,2013,219.54,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
