sub_code,sub_label_en,sub_label_fa,Column 1
KHRMD,Khorramabad,خرم آباد,
KISHFTZ,Kish Free Trade Zone,منطقه آزاد تجاری کیش,
KKSR,Kohak - Saravan Bz,بازارچه کوهک - سراوان,
KRM,Kerman,کرمان,
KRSH,Kermanshah,کرمانشاه,
KSHN,Kashan,کاشان,
KSRV,Khosravi,خسروی,
KVSEZ,Kaveh Special Economic Zone,منطقه ویژه اقتصادی کاوه,
LARAR,Lar Airport,فرودگاه لار,
LMSEZ,Lamerd Special Economic Zone,منطقه ویژه اقتصادی لامرد,
LNG,Port of Lengeh,بندر لنگه,
LTF,Lotfabad,لطف آباد,
MAHR,Mahirood,ماهیرود,
MHB,Mahabad,مهاباد,
MHR,Mehran,مهران,
MHRBZ,Mahirood BZ Bz,بازارچه ماهیرود,
MKSTEEL,Mobarakeh Steel Company,فولاد مبارکه,
MLK,Milak,میلک,
MLKBZ,Milak bazar Bz,بازارچه میلک,
MLR,Malayer,ملایر,
MRGH,Maragheh,مراغه,
MRJ,Mirjaveh,میرجاوه,
MRJBZ,Mirjaveh Bz,بازارچه میرجاوه,
MSHD,Mashhad,مشهد,
NOSSEZ,Nowshahr Special Economic Zone,منطقه ویژه اقتصادی نوشهر,
NRDZ,Nordoz,نوردوز,
OTHC,Other Customs,سایر گمرک‌ها,
PAYAM,Payam Special Economic Zone,منطقه ویژه اقتصادی پیام,
PETSEZ,Bandar Imam Khomeini Petrochemical Special Economic Zone,منطقه ویژه پتروشیمی بندر امام,
PGSMZ,Persian Gulf Special Zone for Mineral and Metal Industries,منطقه ویژه معادن و فلزات,
PLD,Poldasht,پلدشت,
PRSSEZ,Pars Energy Special Economic Zone,منطقه ویژه اقتصادی انرژی پارس,
PRZ,Parviz Khan,پرویزخان,
PSHN,Pishin,پیشین,
PSHN‌BZ,Pishin BZ,بازارچه پیشین,
QOM,Qom,قم,
QSHMFTZ,Qeshm Free Trade Zone,منطقه آزاد تجاری قشم,
QZV,Qazvin,قزوین,
RAJASEZ,Shahid Rajaee Special Economic Zone,منطقه ویژه اقتصادی شهید رجایی,
RAZI,Razi,رازی,
RFJSEZ,Rafsanjan Special Economic Zone,منطقه ویژه اقتصادی رفسنجان,
RMD,Rimdan,ریمدان,
RMDBZ,Rimdan Bz,بازارچه مرزی ریمدان,
SAHSEZ,Sahlan Special Economic Zone,منطقه ویژه اقتصادی سهلان,
SARV,Sarv,سرو,
SAVEH,Saveh,ساوه,
SHIRSEZ,Shiraz Special Economic Zone,منطقه ویژه اقتصادی شیراز,
SHKORD,Shahrekord,شهرکرد,
SHLMCH,Shalamcheh,شلمچه,
SHRZAR,Shiraz Airport,فرودگاه شیراز,
SIRSEZ,Sirjan Special Economic Zone,منطقه ویژه اقتصادی سیرجان,
SJAF,Sajafi,سجافی,
SLFSEZ,Salafchegan Special Economic Zone,منطقه ویژه اقتصادی سلفچگان,
SMN,Semnan,سمنان,
SNJ,Sanandaj,سنندج,
SRDK,Sardasht Kileh Bz,بازارچه کیله سردشت,
SRI,Sari,ساری,
SRKS,Sarakhs Special Economic Zone,منطقه ویژه اقتصادی سرخس,
TBRZ,Tabriz,تبریز,
TMCH,Tamarchin Piranshahr,تمرچین پیرانشهر,
TRN,Tehran,تهران,
URM,Urmia,ارومیه,
WTEH,West Tehran,غرب تهران,
YSJ,Yasuj,یاسوج,
YZD,Yazd,یزد,
YZDSEZ,Yazd Special Economic Zone,منطقه ویژه اقتصادی یزد,
ZARSEZ,Iranian Special Economic Zone (Zarandieh),منطقه ویژه اقتصادی ایرانیان (زرندیه),
ZHD,Zahedan,زاهدان,
ZNJ,Zanjan,زنجان,
POST3,Post (area #3),حوزه ۳ امانات پستی,
SUMAR,Sumar,سومار,
SIRIK,Sirik,سیریک,
PARSIAN,Parsian Energy Special Economic Zone,منطقه ویژه اقتصادی انرژی پارسیان,
JAHROM,Jahrom Special Economic Zone,منطقه ویژه اقتصادی جهرم,
KAZERUN,Kazerun Special Economic Zone,منطقه ویژه اقتصادی کازرون,
COVID,COVID-19,کووید-۱۹,
ISCHA,Ischaemic heart disease,بیماری ایسکمیک قلب,
STROK,Stroke,سکته مغزی,
ROAD ,Road injury,آسیب‌های ترافیکی,
HYPER,Hypertensive heart disease,بیماری قلبی ناشی از فشار خون بالا,
STOMA,Stomach cancer,سرطان معده,
DIABE,Diabetes mellitus,دیابت ملیتوس,
KIDND,Kidney diseases,بیماری‌های کلیوی,
ALZHE,Alzheimer disease and other dementias,بیماری آلزایمر و سایر زوال‌های عقل,
TRACC,"Trachea, bronchus, lung cancers",سرطان‌های نای، برونش و ریه,
CHRON,Chronic obstructive pulmonary disease,بیماری مزمن انسدادی ریه,
LOWER,Lower respiratory infections,عفونت‌های دستگاه تنفسی تحتانی,
COLON,Colon and rectum cancers,سرطان‌های کولون و رکتوم,
BRAIN,Brain and nervous system cancers,سرطان‌های مغز و سیستم عصبی مرکزی,
LIVER,Liver cancer,سرطان کبد,
CONGE,Congenital anomalies,ناهنجاری‌های مادرزادی,
BREAS,Breast cancer,سرطان پستان,
CIRRH,Cirrhosis of the liver,سیروز کبدی,
LEUKA,Leukaemia,لوسمی,
PRETE,Preterm birth complications,عوارض زایمان زودرس,
PROSTC,Prostate cancer,سرطان پروستات,
LYMPM,"Lymphomas, multiple myeloma",لنفوم‌ها و میلوما چندگانه,
SELF,Self-harm,خودآزاری,
OESOP,Oesophagus cancer,سرطان مری,
PANCRC,Pancreas cancer,سرطان پانکراس,
DRUG ,Drug use disorders,اختلالات مصرف مواد,
ASTHM,Asthma,آسم,
INTER,Interpersonal violence,خشونت بین‌فردی,
HIV/A,HIV/AIDS,اچ‌آی‌وی/ایدز,
FALLS,Falls,سقوط‌ها,
EXPOS,Exposure to mechanical forces,قرار گرفتن در معرض نیروهای مکانیکی,
BLADD,Bladder cancer,سرطان مثانه,
LARYN,Larynx cancer,سرطان حنجره,
PARKI,Parkinson disease,بیماری پارکینسون,
BIRTH,Birth asphyxia and birth trauma,آسفیکسی هنگام تولد و تروماهای زایمانی,
"FIRE,","Fire, heat and hot substances",آتش، گرما و مواد داغ,
OVARY,Ovary cancer,سرطان تخمدان,
CARDI,"Cardiomyopathy, myocarditis, endocarditis",کاردیومیوپاتی، میوکاردیت، اندوکاردیت,
PEPTI,Peptic ulcer disease,بیماری زخم پپتیک,
TUBER,Tuberculosis,سل,
RHEUMD,Rheumatic heart disease,بیماری روماتیسمی قلب,
MOUTH,Mouth and oropharynx cancers,سرطان‌های دهان و اوروفارنکس,
COLLE,Collective violence and legal intervention,خشونت جمعی و مداخلات قانونی,
KIDNC,Kidney cancer,سرطان کلیه,
MELAN,Melanoma and other skin cancers,ملانوما و سایر سرطان‌های پوست,
CERVI,Cervix uteri cancer,سرطان دهانه رحم,
DROWN,Drowning,غرق‌شدگی,
CORPU,Corpus uteri cancer,سرطان جسم رحم,
EPILE,Epilepsy,صرع,
POISO,Poisonings,مسمومیت‌ها,
NEONA,Neonatal sepsis and infections,سپسیس و عفونت‌های نوزادی,
GALLB_1,Gallbladder and biliary diseases,بیماری‌های کیسه صفرا و مجاری صفراوی,
THYRO,Thyroid cancer,سرطان تیروئید,
DIARR,Diarrhoeal diseases,بیماری‌های اسهالی,
GALLB_2,Gallbladder and biliary tract cancer,سرطان کیسه صفرا و مجاری صفراوی,
SKIN ,Skin diseases,بیماری‌های پوستی,
MENIN,Meningitis,مننژیت,
ACUTEB,Acute hepatitis B,هپاتیت حاد B,
MATER,Maternal conditions,اختلالات مرتبط با بارداری و زایمان,
MULTI,Multiple sclerosis,اسکلروز چندگانه,
